"List","Title","Description","Points","Due","Members","Labels","Card #","Card URL"
"PENDING","ELENCAR CERTIFICADOS DOS SITES - EVITAR EXPIRAR","EVITAR QUE O CERTIFICADO EXPIRE E TERMOS QUE ATUAR EMERGENCIALMENTE.","","","FF","GPK,SNOWLAND,ACQUA","45","https://trello.com/c/wGzMU4e5"
"PENDING","IMPLANTAR HOTSPOT - BELLA","","","","A","BELLA","74","https://trello.com/c/rAGkNHQh"
"PENDING","IMPLANTAR HOTSPOT - EXCLUSIVE","","","","A","EXCLUSIVE","75","https://trello.com/c/1CQCkvtL"
"PENDING","FORMALIZAR PROJETO CÂMERAS CANCELAS EXCLUSIVE","","","","A","EXCLUSIVE","55","https://trello.com/c/2VkrCbhb"
"TESTING","DNS LINK INDICADORES MC/MV YUP RIO","","","1/6/2023","FF","YUP RIO","63","https://trello.com/c/0hcDu9gM"
"TESTING","CONFIGURAR DNS GPOS - YUP RIO / YUP FOZ","","","1/16/2023","A,FF","YUP FOZ,YUP RIO","77","https://trello.com/c/twZTXtVY"
"TESTING","VEEAM BACKUP - ATUALIZAÇÃO/POC","","","","LP,A,FF","GPK","24","https://trello.com/c/VudfDXvX"
"TESTING","IMPLANTAÇÃO ZABBIX","","","3/10/2023","FF,CB","GPK","68","https://trello.com/c/jTWdo0uX"
"BACKLOG","LEVANTAR DISCOS CÂMERAS","","","","","BUONA VITTA","28","https://trello.com/c/VvSFxvbo"
"BACKLOG","NEW AD GRAMADO PARKS","","","","FF","GPK","6","https://trello.com/c/5wcodWVh"
"BACKLOG","CONTRATO DE SUPORTE OLTS","SE NÃO QUITAR A TRILAN

NÃO TEM COMO CONTRATAR OUTRO FORNECEDOR.

ASSUNTO PARADO.","","","LP","BUONA VITTA","56","https://trello.com/c/GTDfpWUN"
"DONE","Atividades 29/03 e 30/03","Atividades executadas durante o período.

- Apoio em chamados de VPN
- Montagem da VM para substituir o GPV-DW
  - Transferência dos arquivos de banco de dados para o server novo
  - Solicitado ao Chikasawa a instalação e configuração do SQL Server
  - Ajuste nas permissões de acesso ao diretório dos bancos de dados.
- Criação de usuários do Wazuh
- Remoção do Bluestack do GBV-CONTAS
- Suporte ao Zilmar para atualizar informações no server IIS
- Criado o usuário yuprio.coperacoes a pedido do Leo
- Criação de usuários no Zabbix
- Criação de usuário da VPN Consultare","","3/30/2023","CB","GPK","119","https://trello.com/c/nuONJIg1"
"DONE","Nova regra EDI","Acionado o suporte do EDI para configurar as regras de envio de remessa para os novos diretórios criados pelo Mauro.","","3/28/2023","A","GPK","116","https://trello.com/c/QAh8z1N3"
"DONE","Transferências de VM","Transferência das VMs abaixo:

- EDI do virt02 para virt01
- Domínio do virt02 para virt01","","3/28/2023","A","GPK","115","https://trello.com/c/PpakVCE5"
"DONE","Acesso Mikrotik GPK","Atualização das contas de acesso ao Mikrotik","","3/28/2023","A","GPK","114","https://trello.com/c/p0x3XvqI"
"DONE","Falta de espaço no SNEP02","Falha nos serviços do Q-manager e Snep.","","3/28/2023","A","GPK","113","https://trello.com/c/0XdFWUiu"
"DONE","Ativação do NAS-02","Ativar e disponibilizar para uso o NAS-02","","3/28/2023","A","GPK","112","https://trello.com/c/TQt9DWTg"
"DONE","Grupos de Acesso Remoto aos Servidores","Remoção dos usuários com acesso direto aos servidores e avaliação da necessidade de conexão remota direto via RDP.","","3/28/2023","CB","GPK","108","https://trello.com/c/FFTAmRNE"
"DONE","Atualização acesso de Administradores nos Servidores.","Alteração das senhas de administradores locais dos servidores de todos os sites.","","3/28/2023","CB","GPK","107","https://trello.com/c/G1C6IoVk"
"DONE","REMOVER A PUBLICAÇÃO DA WIKI GRAMADO PARKS PARA INTERNET","","","3/31/2023","FF","GPK","99","https://trello.com/c/t2PaDQCP"
"DONE","ATUALIZAR FIREWALL BELLA - EXCLUSIVE","","","3/23/2023","LP","EXCLUSIVE,BELLA","101","https://trello.com/c/5GafGlIJ"
"DONE","ATUALIZAR FIREWALL ACQUAMOTION","","","3/20/2023","LP","ACQUA","100","https://trello.com/c/xnNm5Ckb"
"DONE","ATUALIZAR FIREWALL RIO MAR","![image.png](https://trello.com/1/cards/641dd34490a5a2abb22805e2/attachments/641dd52e5b00761d3ae97bf0/download/image.png)","","3/29/2023","LP","GPK","104","https://trello.com/c/BhPlUIFV"
"DONE","ATUALIZAR FIREWALL PORTO GALINHAS","","","3/29/2023","LP","GPK","103","https://trello.com/c/P6i3Lz6c"
"DONE","ATUALIZAR FIREWALL SNOWLAND","![image.png](https://trello.com/1/cards/641dd33737cdc5c7eebab6ee/attachments/641dd4106d0ae4e9851c6111/download/image.png)","","3/28/2023","LP","SNOWLAND","102","https://trello.com/c/D8PfzPDn"
"DONE","DIGITAL OCEAN - #9003","","","10/3/2022","FF","GPK","34","https://trello.com/c/3MXGw4bG"
"DONE","MAX PROTECNTION - SNOW","","","10/18/2022","LP,FF,A","SNOWLAND","12","https://trello.com/c/lbBI9r9d"
"DONE","FIREWALL - RAIDBR","","","11/16/2022","LP","GPK","10","https://trello.com/c/cb1qUwSn"
"DONE","LICENÇAS SOPHOS <- ESET SNOW","","","12/28/2022","LP","SNOWLAND,GPK","29","https://trello.com/c/pPeIBeQZ"
"DONE","ASC - WHATSAPP","- CHAMAR PARA UMA CONVERSA
- REVER TODOS OS CONTRATOS
- UNIFICAR SOLUÇÃO 
- SOLUÇÃO DE ATIVO - WHATS APP","","1/16/2023","","GPK","14","https://trello.com/c/Dx4LXZmw"
"DONE","ACESSO AOS RELOGIO PONTO - #12917","[https://itcsgpk.zendesk.com/agent/tickets/12917](https://itcsgpk.zendesk.com/agent/tickets/12917 ""‌"")","","1/18/2023","A","GPK","59","https://trello.com/c/ag5KqZLv"
"DONE","ONBOARDING DO DIEGO","","","1/26/2023","LP","GPK","82","https://trello.com/c/N2zsZAYc"
"DONE","DEPLOY EASY INVENTORY","VAMOS PRECISAR UNIR FORÇAR PARA TERMOS O EASY INVENTORY DEPLOYADO EM TUDO ATÉ 30/11/2022","","2/2/2023","FF,A,LP","GPK,SNOWLAND,ACQUA","30","https://trello.com/c/DD8ol7Mb"
"DONE","INVENTÁRIO IMPRESSORAS SELBETTI","EFETUAR LEVANTAMENTO COM INFORMAÇÕES CORRETAS DO LOCAL DE INSTALAÇÃO, EMPREENDIMENTO, IP , ENDEREÇO

[https://docs.google.com/spreadsheets/d/1OCgTjdNHSLCpVoe6DBhkxkgPDigTHVluCTQKsQ1u4fc/edit#gid=1740031567](https://docs.google.com/spreadsheets/d/1OCgTjdNHSLCpVoe6DBhkxkgPDigTHVluCTQKsQ1u4fc/edit#gid=1740031567 ""smartCard-inline"")

‌","","2/3/2023","LP","GPK","81","https://trello.com/c/6FcjnlwU"
"DONE","ON BOARDING DO CRISTIANO.BERNARDINO","","","2/7/2023","LP,CB","GPK","88","https://trello.com/c/FrodI9ym"
"DONE","CORREÇÃO DA FALHA DO LINK DA SEBRATEL NO SNOWLAND","Na alta temporada ocorreu uma falha no link de internet da Sebratel (via rádio). A visada da antena foi interrompida devido à árvores.
Como este é o terceiro link, optou-se por executar a alteração do posicionamento da antena após a alta temporada. 
O procedimento foi agendado para o dia 01/02, onde foram executados os trabalhos de alteração da posição da antena, e início do processo de configuração, porém não foi possível o término.","","2/10/2023","FF,LP,D,A","SNOWLAND","87","https://trello.com/c/ks3SBjOV"
"DONE","EFETUAR RESERVA DE IP http://10.100.1.193/ IMPRESSORA ACQUAMOTION","","","2/15/2023","D,CB,FF","ACQUA","93","https://trello.com/c/UogAxALp"
"DONE","REALIZAR ATIVAÇÃO WINDOWS SERVERS","","","","A","GPK,SNOWLAND,ACQUA","46","https://trello.com/c/YpbezLkB"
"DONE","AVALIAR REGRAS DE FW DE ACESSO PARA O AMBIENTE DIGITALOCEAN / NENHUMA MÁQUINA TEM (TINHA) REGRA ALGUMA DE SEGURANÇA DE FW.","A única maquina que possui regras agora é a glpi.admpessoal.gramadoparks.com","","","FF","GPK","36","https://trello.com/c/jOvjpCuy"
"DONE","RETRO FIT - SNOWLAND","","","","FF","SNOWLAND","26","https://trello.com/c/8sI5PdI8"
"DONE","NOVOS PONTOS DE REDE SALA DE RESERVAS","","","","A","GPK","58","https://trello.com/c/r0rBJG2G"
"DONE","DOWNLOAD BOLETOS FELICIANO","","","","","GPK","57","https://trello.com/c/uIBFteX5"
"DONE","PASSAGEM CABO DE REDE / LOJA AREA DA NEVE","PEDIDO DO CHRISTIAN

FINALIZANDO NOVA LOJA NA AREA DE NEVE
FALTA CABO DE REDE 
LEVAR PARA DENTRO DA LOJA NOVA 
01/11 INGAURAÇAÕ LOJA","","","LP","SNOWLAND","49","https://trello.com/c/won6nqHM"
"DONE","MIGRAR GLPI RH","","","","FF","GPK","47","https://trello.com/c/PIUeqqIA"
"DONE","REDE WIFI - YUP FOZ","AVALIANDO FORNECEDORES PARA MELHORIA DO SINAL DE WIFI NA 
YUP STAR FOZ

ARUBA? -> POWERNET
RUCKUS? -> MAXPROTECTION","","","LP","YUP FOZ","37","https://trello.com/c/fvP08ttb"
"DONE","HD CÂMERAS BUONA VITTA","- SC 20223","","","","BUONA VITTA","27","https://trello.com/c/pMSK0vpp"
"DONE","NOVA XS - SERVIDOR INTERNO","Quais são os passos para liberarmos o token:
1. Precisa resolver o problema que o Servidor Interno do Travel não integra com o servidor do Multiclubes nem com servidor Externo do Travel. Nossa equipe juntamente com o Fernando identificou que o problema é de DNS.","","","FF","SNOWLAND","25","https://trello.com/c/nZyJMkwb"
"DONE","SISTEMA DE TV VEGGA IT ( BUONA )","","","","FF,A","BUONA VITTA","23","https://trello.com/c/G0Dzwk8f"
"DONE","REVISÃO NOBREAKS ACQUAMOTION / ORGANIZAÇAÕ RACK","","","","FF","ACQUA","22","https://trello.com/c/ZLBLbcHh"
"DONE","ANTENA GRUTA - SNOW","","","","FF","SNOWLAND","21","https://trello.com/c/XEehRa8Z"
"DONE","SIMULADOR - SNOW","","","","FF","SNOWLAND","17","https://trello.com/c/niwlnmTr"
"DONE","DESTRATO CONTRATO SMART WAVE","","","","LP","SNOWLAND","13","https://trello.com/c/bOTLkCU6"
"DONE","MAX PROTECTION - ANTERNAS GPK","","","","LP","GPK","11","https://trello.com/c/6nks8C2Y"
"DONE","MAX PROTECTION - ACQUA","","","","LP","ACQUA","9","https://trello.com/c/4Trvb9W8"
"DONE","ZABBIX","","","","","SNOWLAND","7","https://trello.com/c/7kQZbCgI"
"DONE","TROCA ANTENAS SNOW","","","","FF","SNOWLAND","5","https://trello.com/c/fTrCW9Wh"
"DONE","POSTE SNOW","","","","FF","SNOWLAND","4","https://trello.com/c/pwUz4UT3"
"DONE","LEVANTAMENTO CONECTIVIDADE DE OPERAÇÕES (luciano)","","","","A","GPK","3","https://trello.com/c/ZaHtewtR"
"DONE","MELHORIA SISTEMA DE CÂMERAS BUONA VITTA","Realizar melhorias sinalizadas por Charles Lemos, Adriano Dreher e Rafael Nascimento, Projeto Aprovado por Ana Alles","","2/27/2023","A,D,RN","BUONA VITTA","83","https://trello.com/c/TU62Ofkz"
"DONE","CRIA PORTA BRIDGE NO ROUTER OPERADORA","SOLICITAR AS OPERADORAS DISPONIBILIZAR 2 PORTAS PARA UTILIZAÇÃO DO LINK DE INTERNET NO ROUTER.

ISTO É DECORRENTE DE TERMOS 2 FW EM HA. 
SENDO ASSIM CADA PORTA DO LINK DO MODEM SERÁ CONECTADA EM CADA FW","","3/24/2023","LP,A","EXCLUSIVE,BUONA VITTA,BELLA,YUP FOZ,ACQUA","64","https://trello.com/c/GJftB69y"
"DONE","MIGRAR LINK TCA SNOW -> ACQUA","","","3/21/2023","FF","SNOWLAND,ACQUA","76","https://trello.com/c/c3UlQkxK"
"DONE","FORMATAR E PREPARAR ANTIGO SERVIDOR GPK-SP","EQUPAMENTO

Servidor - HP DL360 G7 - N.série BRC0811DB8 - 2 CPU Xeon X5670 2,93GHz - 16GB RAM - 1TB - Win 2016 Essentials","","3/24/2023","CB,D","GPK","95","https://trello.com/c/sI3NeAhC"
"DONE","INSTALAÇÃO DO SEGUNDO PLAYER  2N IP DE BACKUP","CHAMADOS RELACIONADOS:

[https://itcsgpk.zendesk.com/agent/tickets/6170](https://itcsgpk.zendesk.com/agent/tickets/6170 ""‌"")

[https://itcsgpk.zendesk.com/agent/tickets/10615](https://itcsgpk.zendesk.com/agent/tickets/10615 ""‌"")","","3/1/2023","FF","SNOWLAND","70","https://trello.com/c/w7NzE65Q"
"DONE","PAINEL MAX ANALYSER + SIEM + SOC","","","3/24/2023","LP","GPK","52","https://trello.com/c/O1a1RIUS"
"DONE","Formatação Servidor HPE","Formatação do Servior HPE para ser usado pela empresa de backup.","","3/28/2023","A","GPK","111","https://trello.com/c/rYEzAJbW"
"DONE","RETOMAR A AUTENTIÇÃO DE INTERNET NA REDE SNOWLAND ADM","APÓS TROCA DO FW PRECISA SER REVISTO COMO A AUTENTICAÇÃO IRÁ OCORRER

VIA AD?

ATUALMENTE A INTERNET ESTA LIBERADA FULL PARA TODO E QUALQUER SITE.","","3/29/2023","LP,FF","SNOWLAND","79","https://trello.com/c/Rqi2rmpw"
"DONE","DESATIVAR SSID REDE ""OPERACIONAL"" DO SNOW","CONCLUIR AUTENTICAÇÃO DISPOSITIVOS FW SNOW

AJUSTAR A QUESTÃO DA RESERVA DE MAC NO ANTIGO SONIC WALL

ALTERAR PARA OPÇÃO DO CAPTIVE PORTAL JÁ EXISTENTE NO SNOW??

LGPD?

[https://docs.google.com/document/d/1yZbiVbFAOXr-sFYpLT-F2Jy2Qs7SP87NWfV_4Bzmsdk/edit](https://docs.google.com/document/d/1yZbiVbFAOXr-sFYpLT-F2Jy2Qs7SP87NWfV_4Bzmsdk/edit ""smartCard-inline"")","","3/29/2023","LP,FF","SNOWLAND","48","https://trello.com/c/CJbjYyju"
"NO GO","AVALIAR MIGRAÇÃO PASSBOLT PARA GCP","DISCO SEM CRYPTOGRAFIA

ESTA RODANDO DENTRO DE CASA

LEVAR PARA FORA PARA TER MAIS SEGURANÇA.","","","RN","GPK","78","https://trello.com/c/m2Se0jQB"
"NO GO","WIFI/GPK-ADM SALA CPD BUONA VITTA","","","","LP","BUONA VITTA","54","https://trello.com/c/2SE9sb4A"
"NO GO","DASHBOARD - ATIVIDADE EM SISTEMAS","**De:** Luciano Moizio | Gramado Parks <[luciano.moizio@gramadoparks.com](mailto:luciano.moizio@gramadoparks.com ""‌"")\>
**Enviada em:** sexta-feira, 9 de dezembro de 2022 10:37

[@Rafael Fiss | Gramado Parks](mailto:rafael.fiss@gramadoparks.com ""‌"")  e [@Marcos Chikasawa | Gramado Parks](mailto:marcos.chikasawa@gramadoparks.com ""‌"")

‌

Preciso que vocês **trabalhem em conjunto** na seguinte demanda. Quero um dashboard especifico de logon em sistemas

‌

Pegaremos o Sienge como exemplo.

- quantidade de contas ativas
- quantidade de contas ativas que não logam a 15 dias
- quatidade de usuários logados
- top usuários no sistema (tempo de atividade)
- usuários desativados
- etc etc etc

‌

Podem pensar em indicadores que nos deem visibilidade do uso do sistema, bem como o olhar de segurança..

Escopo dos sistemas (Sienge, GTC, Protheus) neste momento.

Usem os times de sistemas, contatos com fornecedores, etc para chegarem no dado que precisam

Quando tiverem um protótipo para mostrarem ... validamos ..

Qualquer duvida me procurem..","","3/30/2023","LP,RN,RF,MC","GPK","97","https://trello.com/c/wmyphpYe"
"NO GO","HOSPEDAGEM ANTIGA SNOW","","","1/31/2023","FF,LP","SNOWLAND","66","https://trello.com/c/HuGPCyZp"
"NO GO","PROJETO SELBETTI /  SATELITTI","- PRECISA SER REVISTO TODO OS CADASTROS DAS IMPRESSORAS DA GRAMADO PARKS.
- FAZER UM CRUZAMENTO DE LOCAIS [CNPJ] X QTD
- ELENCAR OS ENDEREÇOS CORRETOS
- AVALIAR O DEPLOY DA FERRAMENTA SATELITTI NOS SITES","","","","GPK,YUP FOZ,SNOWLAND,ACQUA,YUP RIO","39","https://trello.com/c/dNYHrhHV"
"NO GO","MIX HOUSE - SNOW","","","","FF","SNOWLAND","18","https://trello.com/c/9evadnXv"
"NO GO","REALIZAR ORGANIZAÇÃO RACK GPK / ADEQUAÇÃO ELÉTRICA RACK GPK","","","","","GPK","41","https://trello.com/c/zmUd4Z8S"
